"Time (CET/CEST)","Germany (DE) > Norway (NO) [MW]","Norway (NO) > Germany (DE) [MW]"
"01.01.2020 00:00 - 01.01.2020 00:15","n/e","n/e"
"01.01.2020 00:15 - 01.01.2020 00:30","n/e","n/e"
"01.01.2020 00:30 - 01.01.2020 00:45","n/e","n/e"
"01.01.2020 00:45 - 01.01.2020 01:00","n/e","n/e"
"01.01.2020 01:00 - 01.01.2020 01:15","n/e","n/e"
"01.01.2020 01:15 - 01.01.2020 01:30","n/e","n/e"
"01.01.2020 01:30 - 01.01.2020 01:45","n/e","n/e"
"01.01.2020 01:45 - 01.01.2020 02:00","n/e","n/e"
"01.01.2020 02:00 - 01.01.2020 02:15","n/e","n/e"
"01.01.2020 02:15 - 01.01.2020 02:30","n/e","n/e"
"01.01.2020 02:30 - 01.01.2020 02:45","n/e","n/e"
"01.01.2020 02:45 - 01.01.2020 03:00","n/e","n/e"
"01.01.2020 03:00 - 01.01.2020 03:15","n/e","n/e"
"01.01.2020 03:15 - 01.01.2020 03:30","n/e","n/e"
"01.01.2020 03:30 - 01.01.2020 03:45","n/e","n/e"
"01.01.2020 03:45 - 01.01.2020 04:00","n/e","n/e"
"01.01.2020 04:00 - 01.01.2020 04:15","n/e","n/e"
"01.01.2020 04:15 - 01.01.2020 04:30","n/e","n/e"
"01.01.2020 04:30 - 01.01.2020 04:45","n/e","n/e"
"01.01.2020 04:45 - 01.01.2020 05:00","n/e","n/e"
"01.01.2020 05:00 - 01.01.2020 05:15","n/e","n/e"
"01.01.2020 05:15 - 01.01.2020 05:30","n/e","n/e"
"01.01.2020 05:30 - 01.01.2020 05:45","n/e","n/e"
"01.01.2020 05:45 - 01.01.2020 06:00","n/e","n/e"
"01.01.2020 06:00 - 01.01.2020 06:15","n/e","n/e"
"01.01.2020 06:15 - 01.01.2020 06:30","n/e","n/e"
"01.01.2020 06:30 - 01.01.2020 06:45","n/e","n/e"
"01.01.2020 06:45 - 01.01.2020 07:00","n/e","n/e"
"01.01.2020 07:00 - 01.01.2020 07:15","n/e","n/e"
